SystemCode;Sum;EDNo;EDDate;EDAuthor;Priority;TransKind;AccDocDate;AccDocNo;PayerName;PayerBIC;PayerCorrespAcc;PayeeName;PayeeBIC;PayeeCorrespAcc;Purpose
02;94;14;2024-10-18;4583001999;1;01;1994-05-10;30;УДМУРТСКОЕ ОТДЕЛЕНИЕ N8618 ПАО СБЕРБАНК;049401601;30101810400000000601;ОРЛОВСКОЕ ОТДЕЛЕНИЕ N8595 ПАО СБЕРБАНК;045402601;30101810300000000601;Назначение платежа? Например, порядковый номер ED101 = 14
02;58;15;2024-10-18;4583001999;1;01;1995-02-28;30;ПСКОВСКОЕ ОТДЕЛЕНИЕ N 8630 ПАО СБЕРБАНК;045805602;30101810300000000602;СЕВЕРО-ВОСТОЧНОЕ ОТДЕЛЕНИЕ N8645 ПАО СБЕРБАНК;044442607;30101810300000000607;Назначение платежа? Например, порядковый номер ED101 = 15
02;69;16;2024-10-18;4583001999;1;01;1994-01-20;30;ТОМСКОЕ ОТДЕЛЕНИЕ N8616 ПАО СБЕРБАНК;046902606;30101810800000000606;БУРЯТСКОЕ ОТДЕЛЕНИЕ N8601 ПАО СБЕРБАНК;048142604;30101810400000000604;Назначение платежа? Например, порядковый номер ED101 = 16
02;45;17;2024-10-18;4583001999;1;01;1996-10-01;20;"Русьуниверсалбанк" (ООО);044525674;30101810445250000674;ООО НКО "МОБИ.Деньги";044525678;30103810245250000678;Назначение платежа? Например, порядковый номер ED101 = 17
02;45;18;2024-10-18;4583001999;1;01;1994-11-15;20;"Нацинвестпромбанк" (АО);044525413;30101810745250000413;"Коммерческий Индо Банк" ООО;044525500;30101810400000000500;Назначение платежа? Например, порядковый номер ED101 = 18
02;45;19;2024-10-18;4583001999;1;01;1994-01-20;90;КУ "БУМ-БАНК",ООО - ГК "АСВ";048327749;30101810100000000749;"Банк Кремлевский" ООО;044525196;30101810745250000196;Назначение платежа? Например, порядковый номер ED101 = 19
02;74;20;2024-10-18;4583001999;1;01;2023-08-02;52;УФК по Херсонской области;043510099;40102810445370000099;УФК по Волгоградской области;011806101;40102810445370000021;Назначение платежа? Например, порядковый номер ED101 = 20
02;97;21;2024-10-18;4583001999;1;01;1994-04-15;99;Избирательная комиссия Чувашской Республики;297000102;40202810100000310378;КУ КБ "КАНСКИЙ" ООО - ГК "АСВ";040407427;30101810904070000427;Назначение платежа? Например, порядковый номер ED101 = 21
02;45;22;2024-10-18;4583001999;1;01;1994-01-20;20;АО "НДБанк";044525254;30101810445250000182;АО КБ "КОСМОС";044525182;30101810645250000254;Назначение платежа? Например, порядковый номер ED101 = 22
02;52;23;2024-10-18;4583001999;1;01;1995-09-12;99;Избирательная комиссия Омской области;252000078;40202810445375209003;Филиал № 7701 Банка ВТБ (ПАО);044525745;30101810345250000745;Назначение платежа? Например, порядковый номер ED101 = 23
02;45;24;2024-10-18;4583001999;1;01;1994-01-20;20;АО ЮниКредит Банк;044525545;30101810300000000545;АйСиБиСи Банк (АО);044525551;30101810200000000551;Назначение платежа? Например, порядковый номер ED101 = 24
02;45;25;2024-10-18;4583001999;1;01;1995-07-27;20;ООО КБ "СИНКО-БАНК";044525346;30101810045250000346;Ликвидатор АО Банк "ККБ" - ГК "АСВ";041203711;30101810200000000711;Назначение платежа? Например, порядковый номер ED101 = 25
02;93;26;2024-10-18;4583001999;1;01;1994-01-20;90;ГК АСВ Конкурсный управляющий АО БАНК "НБТ";049304735;30101810500000000735;КУ Банк "Таатта" АО - ГК "АСВ";049805709;30101810300000000709;Назначение платежа? Например, порядковый номер ED101 = 26
02;45;27;2024-10-18;4583001999;1;01;2017-10-12;90;КУ АКБ "КРЫЛОВСКИЙ" (АО) - ГК "АСВ";040349569;30101810900000000569;КУ ООО КБ "НОВОПОКРОВСКИЙ" - ГК "АСВ";040349808;30101810700000000808;Назначение платежа? Например, порядковый номер ED101 = 27
02;47;28;2024-10-18;4583001999;1;01;2011-11-23;52;УФК по Мурманской области;044715100;40116810740800000006;УФК по Челябинской области;047582100;40116810775820010001;Назначение платежа? Например, порядковый номер ED101 = 28
02;45;29;2024-10-18;4583001999;1;01;2018-10-05;90;КУ ОАО КБ "Максимум" - ГК "АСВ";046015846;30101810060150000846;АО АКБ "МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ";044525632;30101810445250000632;Назначение платежа? Например, порядковый номер ED101 = 29
02;45;30;2024-10-18;4583001999;1;01;2006-06-22;30;Филиал АКБ "СЛАВИЯ" (АО) в г. Люберцы;044525599;30101810245250000599;ФИЛИАЛ № 5440 БАНКА ВТБ (ПАО);045004719;30101810450040000719;Назначение платежа? Например, порядковый номер ED101 = 30
02;65;31;2024-10-18;4583001999;1;01;1994-01-20;90;ЛИКВИДАТОР БАНК "НЕЙВА" ООО - ГК "АСВ";046577774;30101810400000000774;МБЭС;044525123;30101810145250000123;Назначение платежа? Например, порядковый номер ED101 = 31
02;45;32;2024-10-18;4583001999;1;01;2016-04-18;30;Филиал "Центральный" Банка ВТБ (ПАО);044525411;30101810145250000411;"ЗИРААТ БАНК (МОСКВА)" (АО);044525116;30101810700000000116;Назначение платежа? Например, порядковый номер ED101 = 32
02;45;33;2024-10-18;4583001999;1;01;2016-12-22;90;КУ ООО КБ "РАЗВИТИЕ"-ГК "АСВ";044784101;30101810300000000812;УФК по Мурманской области;049133812;40116810347840010002;Назначение платежа? Например, порядковый номер ED101 = 33
02;64;34;2024-10-18;4583001999;1;01;1994-01-20;20;Банк "ИТУРУП" (ООО);046401772;30101810300000000772;АО КБ "АГРОПРОМКРЕДИТ";044525710;30101810545250000710;Назначение платежа? Например, порядковый номер ED101 = 34
02;76;35;2024-10-18;4583001999;1;01;2009-01-11;52;УФК по Забайкальскому краю;047681100;40116810200000010001;Центризбирком РС(Я);298000132;40202810545379805017;Назначение платежа? Например, порядковый номер ED101 = 35
02;45;36;2024-10-18;4583001999;1;01;2016-05-30;20;АО НКО "ЭЛЕКСНЕТ";044525133;30103810845250000133;Филиал АО "ГЕНБАНК" в г. Москве;044525656;30101810845250000656;Назначение платежа? Например, порядковый номер ED101 = 36
02;45;37;2024-10-18;4583001999;1;01;2014-04-18;20;АКБ "Держава" ПАО;044525675;30101810745250000675;ПАО "РосДорБанк";044525666;30101810945250000666;Назначение платежа? Например, порядковый номер ED101 = 37
02;52;38;2024-10-18;4583001999;1;01;2018-09-05;90;ГК АСВ конкурсный управляющий АО "Эксперт Банк";045209701;30101810450045209701;Избирательная комиссия Сахалинской области;264000026;40202810945376401003;Назначение платежа? Например, порядковый номер ED101 = 38
02;45;39;2024-10-18;4583001999;1;01;1994-01-20;20;Банк Глобус (АО);044525473;30101810345250000473;УФК по Свердловской области;046579100;40116810100000010001;Назначение платежа? Например, порядковый номер ED101 = 39
02;45;40;2024-10-18;4583001999;1;01;1994-01-20;90;КУ БАНК "ПЕРВОМАЙСКИЙ" (ПАО) - ГК "АСВ";040349715;30101810000000000715;УФК по Запорожской области;010054194;40116810045370000094;Назначение платежа? Например, порядковый номер ED101 = 40
02;32;41;2024-10-18;4583001999;1;01;2000-01-01;99;Избирательная комиссия Кемеровской области - Кузбасса;232000049;40202810700000310018;ООО НКО "Твои платежи";044525077;30103810545250000077;Назначение платежа? Например, порядковый номер ED101 = 41
02;03;42;2024-10-18;4583001999;1;01;2011-01-11;52;Отдел N 14 УФК по Краснодарскому краю;000396186;40116810903960010002;Эс-Би-Ай Банк ООО;044525265;30101810045250000265;Назначение платежа? Например, порядковый номер ED101 = 42
02;45;43;2024-10-18;4583001999;1;01;2023-07-12;20;АО "Свой Банк";044525827;30101810145374525827;КУ КБ "ЭКСПРЕСС-КРЕДИТ" (АО) - ГК "АСВ";044525457;30101810345250000457;Назначение платежа? Например, порядковый номер ED101 = 43
02;45;44;2024-10-18;4583001999;1;01;2016-05-17;90;КУ "МИЛЛЕНИУМ БАНК" (ЗАО) - ГК "АСВ";044525603;30101810645250000597;КУ ЗАО "ИПОТЕК БАНК" - ГК "АСВ";044525597;30101810445250000603;Назначение платежа? Например, порядковый номер ED101 = 44
02;45;45;2024-10-18;4583001999;1;01;2015-12-18;90;КУ ООО КБ "ДОРИС БАНК" - ГК "АСВ";044525608;30101810945250000608;КУ КБ "ИНТЕРКОММЕРЦ" (ООО) - ГК "АСВ";044525626;30101810545250000626;Назначение платежа? Например, порядковый номер ED101 = 45
02;45;46;2024-10-18;4583001999;1;01;2016-08-30;90;КУ АО "СТАРБАНК" - ГК "АСВ";044525645;30101810445250000645;КУ КБ "ПРИСКО КАПИТАЛ БАНК", АО - ГК "АСВ";044525652;30101810645250000652;Назначение платежа? Например, порядковый номер ED101 = 46
02;45;47;2024-10-18;4583001999;1;01;2017-05-02;90;КУ АКБ "МИРЪ" (АО) - ГК "АСВ";044525660;30101810145250000660;КУ КБ "АРСЕНАЛ" ООО - ГК "АСВ";044525686;30101810145250000686;Назначение платежа? Например, порядковый номер ED101 = 47
02;45;48;2024-10-18;4583001999;1;01;2017-02-28;90;КУ КБ "МЕТРОПОЛЬ" ООО - ГК "АСВ";044525692;30101810045250000692;КУ АО "ТУСАРБАНК" - ГК "АСВ";044525755;30101810445250000755;Назначение платежа? Например, порядковый номер ED101 = 48
02;45;49;2024-10-18;4583001999;1;01;2016-02-17;90;КУ БАНК РСБ 24 (АО) - ГК "АСВ";044525760;30101810045250000760;КУ АКБ "ОБПИ" (ПАО) - ГК "АСВ";044525776;30101810945250000776;Назначение платежа? Например, порядковый номер ED101 = 49
02;45;50;2024-10-18;4583001999;1;01;2017-03-15;90;КУ ПАО М2М ПРАЙВЕТ БАНК - ГК "АСВ";044525779;30101810845250000779;КУ КБ "РЭБ" (АО) - ГК "АСВ";044525783;30101810145250000783;Назначение платежа? Например, порядковый номер ED101 = 50
02;45;51;2024-10-18;4583001999;1;01;2016-04-25;90;КУ ООО "КБ "МЕЖТРАСТБАНК" - ГК "АСВ";044525895;30101810745250000895;КУ ПАО "БАНК ПРЕМЬЕР КРЕДИТ" - ГК "АСВ";044525899;30101810945250000899;Назначение платежа? Например, порядковый номер ED101 = 51
02;45;52;2024-10-18;4583001999;1;01;2016-03-21;90;КУ ПАО АКБ "БАЛТИКА" - ГК "АСВ";044525946;30101810445250000946;ВЭБ.РФ;044525060;30101810500000000060;Назначение платежа? Например, порядковый номер ED101 = 52
02;00;53;2024-10-18;4583001999;1;01;2022-10-17;52;УФК по Донецкой Народной Республике;010051191;40116810445370000091;УФК по Кабардино-Балкарской Республике;018327106;40102810145370000070;Назначение платежа? Например, порядковый номер ED101 = 53
02;45;54;2024-10-18;4583001999;1;01;1994-06-15;20;ИНГ БАНК (ЕВРАЗИЯ) АО;044525222;30101810500000000222;ООО КБ "АРЕСБАНК";044525229;30101810845250000229;Назначение платежа? Например, порядковый номер ED101 = 54
02;45;55;2024-10-18;4583001999;1;01;2017-03-09;90;КУ ПАО "ИДЕЯ БАНК" - ГК АСВ;044525179;30101810700000000772;КУ ООО КБ "НКБ" - ГК "АСВ";040349772;30101810445250000179;Назначение платежа? Например, порядковый номер ED101 = 55
02;45;56;2024-10-18;4583001999;1;01;2017-03-15;90;КУ ЦЕНТРКОМБАНК ООО - ГК "АСВ";044525183;30101810745250000183;КУ ЗАО "М БАНК" - ГК "АСВ";044525241;30101810645250000241;Назначение платежа? Например, порядковый номер ED101 = 56
02;45;57;2024-10-18;4583001999;1;01;2017-03-22;90;КУ КБ "ВЕГА-БАНК" (ООО) - ГК "АСВ";044525242;30101810945250000242;КУ ПАО "БАНК ЕКАТЕРИНИНСКИЙ" - ГК "АСВ";044525244;30101810545250000244;Назначение платежа? Например, порядковый номер ED101 = 57
02;45;58;2024-10-18;4583001999;1;01;2016-07-07;90;КУ АКБ "КРОССИНВЕСТБАНК" (ОАО) - ГК "АСВ";044525246;30101810145250000246;КУ БАНК "ВПБ" (АО) - ГК "АСВ";044525250;30101810445250000250;Назначение платежа? Например, порядковый номер ED101 = 58
02;45;59;2024-10-18;4583001999;1;01;1994-11-25;90;КУ АО КБ "РУБЛЕВ" - ГК "АСВ";044525253;30101810345250000253;КУ АО КБ "БТФ" - ГК "АСВ";044525279;30101810100000000279;Назначение платежа? Например, порядковый номер ED101 = 59
02;45;60;2024-10-18;4583001999;1;01;2016-06-14;90;КУ КБ "МИКО-БАНК" ООО - ГК "АСВ";044525284;30101810945250000284;КУ ОАО КБ "МВКБ" - ГК "АСВ";044525286;30101810545250000286;Назначение платежа? Например, порядковый номер ED101 = 60
02;45;61;2024-10-18;4583001999;1;01;2016-10-07;90;КУ КБ "БФГ-КРЕДИТ" (ООО) - ГК "АСВ";044525292;30101810445250000292;КУ КБ "ДС-БАНК" (ООО);044525188;30101810245250000188;Назначение платежа? Например, порядковый номер ED101 = 61
02;45;62;2024-10-18;4583001999;1;01;1994-01-20;90;КУ ПАО "ОФК БАНК" - ГК "АСВ";044525293;30101810745250000293;КУ КБ "РТБК" (ООО) - ГК "АСВ";044525280;30101810500000000280;Назначение платежа? Например, порядковый номер ED101 = 62
02;45;63;2024-10-18;4583001999;1;01;2013-12-10;90;КУ ОАО "АБ "ПУШКИНО" - ГК "АСВ";044525287;30101810845250000287;КУ ООО ПЧРБ БАНК - ГК "АСВ";044525300;30101810600000000300;Назначение платежа? Например, порядковый номер ED101 = 63
02;45;64;2024-10-18;4583001999;1;01;2014-03-17;90;КУ КБ "РУБЛЕВСКИЙ" ООО - ГК "АСВ";044525337;30101810245250000337;КУ ООО "ДЖАСТ БАНК" - ГК "АСВ";044525342;30101810845250000342;Назначение платежа? Например, порядковый номер ED101 = 64
02;45;65;2024-10-18;4583001999;1;01;2015-07-27;90;КУ ООО КБ "ТРАНСПОРТНЫЙ" - ГК "АСВ";044525356;30101810145250000356;КУ "АМБ БАНК" (ПАО)-ГК "АСВ";044525350;30101810100000000350;Назначение платежа? Например, порядковый номер ED101 = 65
02;45;66;2024-10-18;4583001999;1;01;2016-05-24;90;КУ ООО КБ "МИЛБАНК" - ГК "АСВ";043207777;30101810045250000304;ООО НКО "Тайдон";044525304;30124810445373207777;Назначение платежа? Например, порядковый номер ED101 = 66
02;45;67;2024-10-18;4583001999;1;01;1994-01-20;20;ПАО "СПБ Банк";044525186;30101810400000000186;АО "Банк Интеза";044525922;30101810800000000922;Назначение платежа? Например, порядковый номер ED101 = 67
02;45;68;2024-10-18;4583001999;1;01;2015-09-24;99;Госкорпорация "Росатом";245010945;40503810545250000010;Филиал "Московский" АО КБ "Солидарность";044525067;30101810845250000067;Назначение платежа? Например, порядковый номер ED101 = 68
02;82;69;2024-10-18;4583001999;1;01;2014-11-26;90;КУ ООО "ЭСИДБАНК" ГК "АСВ";048209742;30101810200000000742;ООО "Драйв Клик Банк";044525811;30101810500000000811;Назначение платежа? Например, порядковый номер ED101 = 69
02;45;70;2024-10-18;4583001999;1;01;2016-01-26;90;КУ ПАО КБ "ЕВРОКОММЕРЦ" - ГК "АСВ";044525306;30101810645250000306;КУ ООО КБ "РБС" - ГК "АСВ";044525335;30101810645250000335;Назначение платежа? Например, порядковый номер ED101 = 70
02;45;71;2024-10-18;4583001999;1;01;2016-01-15;90;КУ ПАО АКБ "РБР" - ГК "АСВ";044525359;30101810045250000359;КУ КБ "МФБАНК" ООО - ГК "АСВ";044525387;30101810745250000387;Назначение платежа? Например, порядковый номер ED101 = 71
02;45;72;2024-10-18;4583001999;1;01;2016-05-23;90;КУ КБ "УНИФИН" АО - ГК "АСВ";044525423;30101810845250000423;КУ АКБ "БЕНИФИТ-БАНК" (ЗАО) - ГК "АСВ";044525461;30101810645250000461;Назначение платежа? Например, порядковый номер ED101 = 72
02;45;73;2024-10-18;4583001999;1;01;1994-01-20;20;АО "ГУТА-БАНК";044525911;30101810645250000911;ИНВЕСТТОРГБАНК АО;044525267;30101810645250000267;Назначение платежа? Например, порядковый номер ED101 = 73
02;80;74;2024-10-18;4583001999;1;01;2010-12-27;52;УФК по Республике Башкортостан;048080100;40116810300000010001;КУ ОАО ККБ "КРЕДИТБАНК"- ГК "АСВ";048580724;30101810900000000724;Назначение платежа? Например, порядковый номер ED101 = 74
02;45;75;2024-10-18;4583001999;1;01;2016-06-16;90;КУ АО АКБ "Стелла-Банк" - ГК "АСВ";046015938;30101810400000000938;КУ АКБ "Капиталбанк" (ПАО) - ГК "АСВ";046015728;30101810500000000728;Назначение платежа? Например, порядковый номер ED101 = 75
02;58;76;2024-10-18;4583001999;1;01;2000-01-01;99;Избирательная комиссия Псковской области;258000013;40301810700000000102;Избирательная комиссия Свердловской области;280001523;40202810965770000001;Назначение платежа? Например, порядковый номер ED101 = 76
02;94;77;2024-10-18;4583001999;1;01;2016-09-07;20;ООО ПНКО "ЭЛПЛАТ";044525102;30103810822029400758;АО "Денизбанк Москва";049401758;30101810400000000102;Назначение платежа? Например, порядковый номер ED101 = 77
02;45;78;2024-10-18;4583001999;1;01;1994-01-20;90;Ликвидационная комиссия ООО КБ "Альба Альянс";044525288;30101810145250000288;ООО "Первый Клиентский Банк";044525134;30101810545250000134;Назначение платежа? Например, порядковый номер ED101 = 78
02;45;79;2024-10-18;4583001999;1;01;2000-04-28;20;АО "МСП Банк";044525108;30101810200000000108;АО "Мидзухо Банк (Москва)";044525107;30101810900000000107;Назначение платежа? Например, порядковый номер ED101 = 79
02;45;80;2024-10-18;4583001999;1;01;2015-09-14;90;КУ ОАО КБ "МАСТ-БАНК" - ГК "АСВ";044525465;30101810845250000465;КУ КБ "КБР БАНК" (ООО) - ГК "АСВ";044525485;30101810045250000485;Назначение платежа? Например, порядковый номер ED101 = 80
02;45;81;2024-10-18;4583001999;1;01;1994-03-11;90;КУ ООО ПИР Банк - ГК "АСВ";044525491;30101810945250000491;КУ ОАО БАНК "МБФИ" - ГК "АСВ";044525536;30101810745250000536;Назначение платежа? Например, порядковый номер ED101 = 81
02;45;82;2024-10-18;4583001999;1;01;2017-11-08;90;КУ "РИАБАНК" (АО) - ГК "АСВ";044525538;30101810345250000538;КУ КБ"МЕЖДУНАРОДНЫЙ БАНК РАЗВИТИЯ"(АО)ГК"АСВ";044525541;30101810100000000541;Назначение платежа? Например, порядковый номер ED101 = 82
02;45;83;2024-10-18;4583001999;1;01;2016-11-17;90;КУ АКБ "ФИНПРОМБАНК" (ПАО) - ГК "АСВ";044525549;30101810745250000549;КУ АКБ "БНКВ" (АО) - ГК "АСВ";044525556;30101810945250000556;Назначение платежа? Например, порядковый номер ED101 = 83
02;45;84;2024-10-18;4583001999;1;01;2016-11-01;90;КУ АКБ "СТРАТЕГИЯ" (ПАО) - ГК "АСВ";044525563;30101810145250000563;КУ ООО КБ "АЙМАНИБАНК" - ГК "АСВ";044525586;30101810245250000586;Назначение платежа? Например, порядковый номер ED101 = 84
02;45;85;2024-10-18;4583001999;1;01;2016-03-25;90;КУ АО "РУССТРОЙБАНК" - ГК "АСВ";044525591;30101810845250000591;КУ ЗАО "ПРОМСБЕРБАНК" - ГК "АСВ";044525366;30101810245250000366;Назначение платежа? Например, порядковый номер ED101 = 85
02;45;86;2024-10-18;4583001999;1;01;2014-07-16;90;КУ ОАО "ПРБ" - ГК "АСВ";044525368;30101810845250000368;КУ КБ "ЕДИНСТВЕННЫЙ" (ООО) - ГК "АСВ";044525355;30101810845250000355;Назначение платежа? Например, порядковый номер ED101 = 86
02;45;87;2024-10-18;4583001999;1;01;2016-03-22;90;КУ "ДИЛ-БАНК" (ООО) - ГК "АСВ";044525376;30101810345250000376;КУ ООО КБ "ОПМ-БАНК" - ГК "АСВ";044525378;30101810945250000378;Назначение платежа? Например, порядковый номер ED101 = 87
02;45;88;2024-10-18;4583001999;1;01;2015-07-13;90;КУ КБ "ТРАНСНАЦИОНАЛЬНЫЙ БАНК" (ООО)-ГК "АСВ";044525375;30101810745250000374;КУ БАНК "СОФРИНО" (ЗАО) - ГК "АСВ";044525374;30101810800000000375;Назначение платежа? Например, порядковый номер ED101 = 88
02;45;89;2024-10-18;4583001999;1;01;2016-05-27;30;Московский филиал "БАНК СГБ";044525094;30101810245250000094;КУ АО "КС БАНК" - ГК "АСВ";048952749;30101810500000000749;Назначение платежа? Например, порядковый номер ED101 = 89
02;46;90;2024-10-18;4583001999;1;01;1994-05-30;20;КБ "Крокус-Банк" (ООО);044525881;30101810445250000881;КУ Банк МБСП (АО) - ГК "АСВ";044030760;30101810600000000760;Назначение платежа? Например, порядковый номер ED101 = 90
02;45;91;2024-10-18;4583001999;1;01;1994-01-20;90;Конкурсный управляющий АО Банк "Советский" - ГК "АСВ";044030772;30101810300000000772;Конкурсный управляющий ПАО "Невский банк" - ГК "АСВ";044030885;30101810200000000885;Назначение платежа? Например, порядковый номер ED101 = 91
02;45;92;2024-10-18;4583001999;1;01;1994-01-20;90;Ликвидатор АО "Заубер Банк" - ГК "АСВ";044030925;30101810640300000925;ООО "Унифондбанк";044525488;30101810945250000488;Назначение платежа? Например, порядковый номер ED101 = 92
02;47;93;2024-10-18;4583001999;1;01;2011-11-17;52;УФК по Мурманской области;044785102;40116810400000010016;Московский филиал Таврического Банка (АО);044525520;30101810845250000520;Назначение платежа? Например, порядковый номер ED101 = 93
02;45;94;2024-10-18;4583001999;1;01;1994-01-20;20;АО АКБ "ЦентроКредит";044525514;30101810700000000514;Межгосударственный банк;044525362;30101810800000000362;Назначение платежа? Например, порядковый номер ED101 = 94
02;45;95;2024-10-18;4583001999;1;01;1996-12-10;20;НКО АО НРД;044525505;30105810345250000505;ПАО "Норвик Банк";044525845;30101810745374525845;Назначение платежа? Например, порядковый номер ED101 = 95
02;08;96;2024-10-18;4583001999;1;01;2011-03-02;52;УФК по Хабаровскому краю;000825040;40116810408250010013;УФК по Московской области;044681102;40116810100000010046;Назначение платежа? Например, порядковый номер ED101 = 96
02;45;97;2024-10-18;4583001999;1;01;1995-09-22;20;МКИБ "РОССИТА-БАНК" ООО;044525747;30101810945250000747;УФК по Республике Северная Осетия -Алания;049082100;40116810400000010002;Назначение платежа? Например, порядковый номер ED101 = 97
02;47;98;2024-10-18;4583001999;1;01;2011-11-17;52;УФК по Мурманской области;044781102;40116810700000010006;Межрегиональное операционное УФК ;044588100;40116810600000010008;Назначение платежа? Например, порядковый номер ED101 = 98
02;81;99;2024-10-18;4583001999;1;01;2007-12-26;52;УФК по Республике Бурятия ;044525097;40116810881400010001;ООО "АТБ" Банк;048140100;30101810145250000097;Назначение платежа? Например, порядковый номер ED101 = 99
02;45;100;2024-10-18;4583001999;1;01;2002-09-13;20;КБ "РБА" (ООО);044525082;30101810545250000082;Московский филиал ПАО "МЕТКОМБАНК";044525200;30101810945250000200;Назначение платежа? Например, порядковый номер ED101 = 100
02;45;101;2024-10-18;4583001999;1;01;2003-12-11;30;Московский филиал АО Банк "ПСКБ";044525606;30101810345250000606;ООО КБ "Столичный Кредит";044525683;30101810000000000683;Назначение платежа? Например, порядковый номер ED101 = 101
02;45;102;2024-10-18;4583001999;1;01;2004-04-05;20;Банк "РЕСО Кредит" (АО);044525451;30101810545250000451;АО "НК Банк";044525278;30101810045250000278;Назначение платежа? Например, порядковый номер ED101 = 102
02;45;103;2024-10-18;4583001999;1;01;2021-05-26;20;ООО РНКО "Металлург";044525125;30103810345250000125;АО Банк "Развитие-Столица";044525984;30101810000000000984;Назначение платежа? Например, порядковый номер ED101 = 103
02;45;104;2024-10-18;4583001999;1;01;2015-06-05;20;НКО НКЦ (АО);044525646;30103810345250000646;АО БАНК "МОСКВА-СИТИ";044525800;30101810345250000800;Назначение платежа? Например, порядковый номер ED101 = 104
02;45;105;2024-10-18;4583001999;1;01;2006-10-02;20;АО "Эм-Ю-Эф-Джи Банк (Евразия)";044525361;30101810500000000361;КБ "Максима" (ООО);044525435;30101810545250000435;Назначение платежа? Например, порядковый номер ED101 = 105
02;45;106;2024-10-18;4583001999;1;01;2018-10-24;30;Филиал "Корпоративный" ПАО "Совкомбанк";044525360;30101810445250000360;Избирательная комиссия Оренбургской области;253000417;40202810200000310075;Назначение платежа? Например, порядковый номер ED101 = 106
02;82;107;2024-10-18;4583001999;1;01;2013-02-11;52;УФК по Республике Дагестан;048270101;40116810100000010008;УФК по Новосибирской области;045081100;40116810200000010001;Назначение платежа? Например, порядковый номер ED101 = 107
